关键词,次数,详细内容
客服,72,"['联系客服', '售后说你给客服联系', '客服说按照国家三包规定', '投诉客服先问我客服怎么说的', '我说客服说按国家三包规定', '等到投诉客服给我回电话来', '结果现在打客服说', '客服还说只显示了优惠', '客服和技术部反馈说是抖音软件的问题', '跟客服人员谈好了配置及清单后我直接就买了因为我一直支持华为', '于是我跟客服人员联系他说他没错按订单发的货', '客服直接说是我的问题', '联系客服也不会答', '找客服', '找客服', '客服说重启后没问题就是没问题', '客服不和我说', '联系客服说修复系统试试', '客服态度不错', '然后客服服务真的很差', '客服不用忽悠我', '一星是给京东客服的', '客服都把责任乱推', '问客服', '客服说会打电话给我处理此事', '我都不知道还要那客服有什么用', '咨询了客服没有回复', '客服反复内部确认告诉我无法送货', '4号问客服5号华为p20有活动有优惠么', '客服说没有', '找客服居然告诉我随机抽取拨测', '华为客服告诉我出厂没有什么拨测', '破客服', '客服给了个检测的地址还不对', '要求退换客服不予处理手机没怎么玩就发热', '问客服也什么都不懂', '就是客服沙币整体就是感觉容易发烫不是全屏', '然后京东客服跟我绕圈说话', '京东客服真的蠢什么手机', '客服不承认', '然后京东客服跟我绕圈说话', '京东客服真的蠢体验感特别差', '找到客服除了说抱歉没别的', '客服不用忽悠我', '联系客服还没有人', '要退货了4号问客服5号华为p20有活动有优惠么', '客服说没有', '客服也很不专业', '问些会出现的问题一直叫找京东客服', '客服差评就知道自动回复', '京东客服更是', '联系京东客服就知道tama自动回复', '华为客服告知官方只有一对耳机', '我都不知道还要那客服有什么用', '客服态度也好', '客服反复内部确认告诉我无法送货', '联系客服也没用', '找客服', '跟客服人员谈好了配置及清单后我直接就买了因为我一直支持华为', '于是我跟客服人员联系他说他没错按订单发的货', '客服直接说是我的问题', '客服万年没人在刚到的手机没有信号', '开始客服电话繁忙', '一星是给京东客服的', '客服都把责任乱推', '然后客服服务真的很差', '结果现在打客服说', '客服还说只显示了优惠', '联系客服也不会答', '客服和技术部反馈说是抖音软件的问题', '客服也联系不上', '咨询了客服没有回复']"
屏幕,59,"['屏幕mate10强百倍', '屏幕一般', '自己看屏幕塑料的边框感觉像是让人用了很多年一样', '大家可以试下刷抖音的时候屏幕被放大', '不适用华为新系统新屏幕', '屏幕太小', '整体屏幕还没有人家不是全面屏的大呢', '屏幕底部发黄', '屏幕还这样', '屏幕有致命缺陷', '上半部分屏幕有明显横纹', '整个屏幕显示偏黄', '在白色背景下和正常手机屏幕对比很明显', '旗舰机屏幕不应该有有这种问题', '但屏幕确实太差了', '屏幕阴阳屏严重', '屏幕低端发黄', '屏幕多次触摸操控失灵', '屏幕亮度已经设置为20', '屏幕上的膜还是黏的', '大家高兴之于还是检查一下自己的手机吧使用几天后陆续出现过几次屏幕卡死', '屏幕不受控制问题', '屏幕完全不受控制', '刚刚起床还是那么多电还死机了屏幕一直亮着手机非常烫', '就是屏幕的事', '跟老诺基亚那会的屏幕一样电池续航很失望', '京东啊京东才用了20天屏幕', '充电屏幕失灵', '屏幕自带保护膜很脏', '屏幕乱转', '刚刚起床还是那么多电还死机了屏幕一直亮着手机非常烫', '翻盖盖到屏幕上后发现上下两个角是翘着的', '翻盖比手机屏幕大出一个边', '太不好用了屏幕触摸不好反应慢钱花的太坑了假货没发票的吗', '屏幕下面发黄', '就屏幕这一点让我很不舒服', '屏幕显示有很明显的横向条纹但是拍照看不出来', '首先是屏幕阴阳屏', '对这屏幕上的小点无法容忍', '屏幕上的膜还是黏的', '屏幕下部偏黄垃圾', '屏幕太花了', '屏幕分辨率太低', '就是屏幕有一个划痕', '这手机屏幕分辨率低', '真是令人失望屏幕阴阳屏', '屏幕mate10强百倍', '屏幕一般', '自己看屏幕塑料的边框感觉像是让人用了很多年一样', '正面摄像头占屏幕', '屏幕低端发黄', '屏幕低端发黄', '屏幕上部发白', '屏幕太小', '整体屏幕还没有人家不是全面屏的大呢', '大家可以试下刷抖音的时候屏幕被放大', '不适用华为新系统新屏幕', '屏幕下部分发黄不知道啥原因', '屏幕阴阳屏严重']"
差评,38,"['这是我历史以来第一次差评', '第一次写了这么多字的差评', '差评给京东', '差评差评差评自带的手机壳', '第一次给差评', '差评', '差评', '差评我想问我手机发这样格式的图片出去别人看不怎么清楚', '差评给京东', '差评', '买之前看了一下店铺的差评', '刺激战场太卡了差评是针对这个套餐的', '电池不怎么耐用网购第一个差评送给这次白条活动', '差评昨天晚上10多刚买的', '差评接着好好改进吧手机有点厚', '差评', '客服差评就知道自动回复', '头一次给差评', '差评5颗星', '最后一百度就全明白了啦电板不经用软件安装了用不了差评物流速度快', '差评', '差评', '京东买东西从来没有给过差评', '第一次买华为也是第一次给京东差评', '这个差评我是一定要给的', '差评不好的购物体验', '差评京东但是挺快这', '我直接就是一个差评', '3788果然没毛病第一次差评', '差评给华为', '差评原因', '妥妥差评', '差评', '差评', '差评', '连个贴膜都没有和前面差评一样', '差评不解释华为质检太垃圾了', '第二昨天的差评哪去了']"
退货,35,"['退货时给我要发票', '无奈只能不退货了', '要退货了给要税票', '现在想退货但是售后并不允许了', '因为只有7天无理由退货', '退货也非常慢', '我真退货', '请问还可以退货吗', '看到是无理由退货才下单买的', '第二天去退货就发现通话口有这样的划痕就无法退了', '我会考虑退货', '我可以怀疑手机是别人退货的问题机吗', '申请退货退款了', '退货前置摄像头画质太假', '看到是无理由退货才下单买的', '第二天去退货就发现通话口有这样的划痕就无法退了', '我真退货', '请问还可以退货吗', '想要退货然后买个新的', '气到想退货', '要退货了4号问客服5号华为p20有活动有优惠么', '退货不给退', '直接就退货了', '我去了体验店样机更严重所以申请退货想想还是取消了', '我觉得是不是别人退货的很烦', '我可以怀疑手机是别人退货的问题机吗', '退货时给我要发票', '无奈只能不退货了', '要退货了给要税票', '现在想退货但是售后并不允许了', '因为只有7天无理由退货', '退货', '退货也非常慢', '退货要扣钱的', '不知道是不是别人退货的']"
问题,80,"['京东上买手机如有问题', '到了发现手机质量有问题前去咨询', '一个高光点确实是个小问题', '但对于消费者来说谁想花同样的价钱却买个问题机', '更多问题', '这是不是狠严重狠严重的质量问题', '我问售后是不是质量问题', '第一批手机都出现这样的质量问题', '问题出来不解决问题', '对于你们解决问题的态度', '还卖这么贵不知道是不是软件不兼容的问题', '两个手机同一个视频对比了一下确实是P20有问题', '客服和技术部反馈说是抖音软件的问题', '还一直推脱说是别人的问题', '不想着怎么给客户解决问题', '目前只发现这个问题', '本来以为是软件的问题', '识别灵敏过头的问题', '客服直接说是我的问题', '没出现过这个问题', '客服说重启后没问题就是没问题', '旗舰机屏幕不应该有有这种问题', '不知道是什么问题', '反正不是我自身问题', '用起来是没问题', '970的GPU问题', '还是因为控温限制问题', '还有说一到三天到的手机拿过来就有很多问题', '花了三千多刚买来二十天左右的手机就出现这么多问题', '京东来电话说手机没问题', '但是我一台应该有点问题', '屏幕不受控制问题', '但京东工作人员的工作态度有问题', '我可以怀疑手机是别人退货的问题机吗', '发热巨大的问题', '不是膜的问题', '各种各样的问题', '不知道是手机问题还是版本问题', '质量有问题', '才买帮个月触屏就出问题垃圾', '用了不到一个月就出现问题', '要是半年一年出现问题那也就认了', '怎么解决这个问题比较重', '问些会出现的问题一直叫找京东客服', '上个旧手机没有问题的', '连续两次给我发同样问题的的货', '可见商家有意的把有问题的的批次在网上售卖', '有问题根本没有正面回复', '手机有问题不能及时解决一星都不想给', '用起来是没问题', '970的GPU问题', '还是因为控温限制问题', '京东上买手机如有问题', '到了发现手机质量有问题前去咨询', '一个高光点确实是个小问题', '但对于消费者来说谁想花同样的价钱却买个问题机', '更多问题', '但京东工作人员的工作态度有问题', '我可以怀疑手机是别人退货的问题机吗', '京东来电话说手机没问题', '都有问题', '一个旗舰机居然出这样的问题', '但是看同样的视频为啥我的老果6就没问题', '同事的红米也没问题', '客服直接说是我的问题', '售后也没有人解决问题运行内存也就2', '就是声音加减键有问题', '不知道是什么问题', '反正不是我自身问题', '他的也有这个问题', '目测这个问题概率非常大', '估计很难评定这个问题', '没出现过这个问题', '不知道是不是软件不兼容的问题', '两个手机同一个视频对比了一下确实是P20有问题', '客服和技术部反馈说是抖音软件的问题', '还一直推脱说是别人的问题', '不想着怎么给客户解决问题', '目前只发现这个问题', '但是我一台应该有点问题']"
失望,35,"['有点失望哦', '失望', '觉得有点失望', '着实让我失望', '华为手机真是让我挺失望的', '华为这次让我有点失望', '失望', '但是对京东某些比较失望', '第一次买很让我失望', '真的很失望一颗星都不想给', '太让人失望了只能说外观还行吧', '非常非常失望', '很失望啊', '希望换了之后不会让我失望吧', '跟老诺基亚那会的屏幕一样电池续航很失望', '非常失望', '有点儿失望', '太让人失望了', '非常非常失望', '觉得有点失望', '着实让我失望', '华为手机真是让我挺失望的', '太失望了', '很失望', '很失望', '但是对京东某些比较失望', '希望换了之后不会让我失望吧', '对这个牌子失望', '真是令人失望屏幕阴阳屏', '但这次很失望', '第一次买很让我失望', '失望', '华为这次让我有点失望', '失望', '有点失望哦']"
电池,34,"['这个电池的电', '手机电池耗电太快', '然后电池续航特别差', '还有电池', '电池电量只能用到2', '说这是正常情况为了保护电池的', '的电池干嘛', '电池不耐用', '勉强给一星电池不耐用', '电池早上七点出门是百分之90多', '电池超不耐用', '电池也就那样待机时间短也就那样以前给父亲买的华为挺好的', '跟老诺基亚那会的屏幕一样电池续航很失望', '电池不行', '电池我就不说了', '电池用不了多久用的百度输入法', '有点卡电池耗电太快了', '电池不怎么耐用网购第一个差评送给这次白条活动', '就是电池不经用', '作为一个轻度手机使用者电池管不到一天很垃圾的手机', '电池超不耐用', '电池免强用一天', '手机电池耗电太快', '这个电池的电', '电池也不想3400', '电池不耐用', '拍照啥的还好吧电池不行不耐用', '另外部分应用说不支持截屏电池不耐用', '感觉贵了电池早上七点出门是百分之90多', '电池电量只能用到2', '说这是正常情况为了保护电池的', '的电池干嘛', '③电池很够用', '电池不耐用']"
拍照,24,"['拍照mate10强百倍', '拍照确实强大', '如果是冲拍照去的', '第四天上课的时候拍照', '拍照效果确实不错', '现在只注重相机和拍照了', '决赛圈给我搞这个除了拍照其他都是垃圾', '懒得拍照了', '拍照太差了', '会议室拍照脸都是变形的', '不是很明白为什么能把拍照吹上天', '屏幕显示有很明显的横向条纹但是拍照看不出来', '优点是拍照确实好', '拍照额', '拍照啥的还好吧电池不行不耐用', '拍照mate10强百倍', '②拍照时候', '拍照宣传的太厉害了', '②拍照自拍很美', '拍照还是有一点优势的', '说拍照如何如何了得', '第一天用拍照功能居然还死机了', '拍照效果也不行', '哎除了拍照外']"
摄像头,21,"['前置摄像头自拍模糊不说', '摄像头太歪了', '后置摄像头设计不好', '三摄像头徕卡完全不搭边', '两摄像头偏上', '前置摄像头', '手机后摄像头有划痕', '退货前置摄像头画质太假', '闪屏加摄像头也不是很清晰', '后摄像头有2个', '摄像头偏心有点', '摄像头里不知道是进灰', '后置摄像头是歪的', '后置摄像头还是有一点歪', '后面摄像头有一粒灰尘', '后置摄像头设计不好', '正面摄像头占屏幕', '就是摄像头不正', '摄像头是歪的', '摄像头下面那个不同心', '哀其不幸怒其不争摄像头太歪了']"
垃圾,25,"['买后发现自拍垃圾', '京东太垃圾了', '垃圾用了12', '华为质检太垃圾了', '低配的就弄得这么垃圾啊', '垃圾', '太垃圾了', '垃圾手机钢化膜装上以后触摸相当不好用', '快递包装也好垃圾', '决赛圈给我搞这个除了拍照其他都是垃圾', '垃圾', '才买帮个月触屏就出问题垃圾', '差点感觉非常垃圾用了半个月', '作为一个轻度手机使用者电池管不到一天很垃圾的手机', '垃圾', '垃圾双', '我要投诉京东太垃圾了', '垃圾我不知道是不是其他人也一样', '屏幕下部偏黄垃圾', '但是你这垃圾系统为什么这么不稳定', '真的很垃圾', '买后发现自拍垃圾', '垃圾', '低配的就弄得这么垃圾啊', '差评不解释华为质检太垃圾了']"
